[2024-01-24 20:09:33] app.ERROR: Class "AdminLinkWidgetController" not found in controllers/admin [] []
[2024-01-24 20:09:37] app.INFO: Exporting mail with theme modern for language Français (French) [] []
[2024-01-24 20:09:37] app.INFO: Core output folder: C:\xampp\htdocs\exercice/mails [] []
[2024-01-24 20:09:37] app.INFO: Modules output folder: C:\xampp\htdocs\exercice/modules/ [] []
[2024-01-24 20:09:41] app.INFO: Exporting mail with theme modern for language ‫العربية (Arabic) [] []
[2024-01-24 20:09:41] app.INFO: Core output folder: C:\xampp\htdocs\exercice/mails [] []
[2024-01-24 20:09:41] app.INFO: Modules output folder: C:\xampp\htdocs\exercice/modules/ [] []
[2024-01-24 20:09:41] app.INFO: Generate html template account at C:\xampp\htdocs\exercice/mails\ar\account.html [] []
[2024-01-24 20:09:41] app.INFO: Generate txt template account at C:\xampp\htdocs\exercice/mails\ar\account.txt [] []
[2024-01-24 20:09:41] app.INFO: Generate html template backoffice_order at C:\xampp\htdocs\exercice/mails\ar\backoffice_order.html [] []
[2024-01-24 20:09:41] app.INFO: Generate txt template backoffice_order at C:\xampp\htdocs\exercice/mails\ar\backoffice_order.txt [] []
[2024-01-24 20:09:41] app.INFO: Generate html template bankwire at C:\xampp\htdocs\exercice/mails\ar\bankwire.html [] []
[2024-01-24 20:09:41] app.INFO: Generate txt template bankwire at C:\xampp\htdocs\exercice/mails\ar\bankwire.txt [] []
[2024-01-24 20:09:41] app.INFO: Generate html template cheque at C:\xampp\htdocs\exercice/mails\ar\cheque.html [] []
[2024-01-24 20:09:41] app.INFO: Generate txt template cheque at C:\xampp\htdocs\exercice/mails\ar\cheque.txt [] []
[2024-01-24 20:09:41] app.INFO: Generate html template contact at C:\xampp\htdocs\exercice/mails\ar\contact.html [] []
[2024-01-24 20:09:41] app.INFO: Generate txt template contact at C:\xampp\htdocs\exercice/mails\ar\contact.txt [] []
[2024-01-24 20:09:41] app.INFO: Generate html template contact_form at C:\xampp\htdocs\exercice/mails\ar\contact_form.html [] []
[2024-01-24 20:09:41] app.INFO: Generate txt template contact_form at C:\xampp\htdocs\exercice/mails\ar\contact_form.txt [] []
[2024-01-24 20:09:41] app.INFO: Generate html template credit_slip at C:\xampp\htdocs\exercice/mails\ar\credit_slip.html [] []
[2024-01-24 20:09:41] app.INFO: Generate txt template credit_slip at C:\xampp\htdocs\exercice/mails\ar\credit_slip.txt [] []
[2024-01-24 20:09:42] app.INFO: Generate html template download_product at C:\xampp\htdocs\exercice/mails\ar\download_product.html [] []
[2024-01-24 20:09:42] app.INFO: Generate txt template download_product at C:\xampp\htdocs\exercice/mails\ar\download_product.txt [] []
[2024-01-24 20:09:42] app.INFO: Generate html template employee_password at C:\xampp\htdocs\exercice/mails\ar\employee_password.html [] []
[2024-01-24 20:09:42] app.INFO: Generate txt template employee_password at C:\xampp\htdocs\exercice/mails\ar\employee_password.txt [] []
[2024-01-24 20:09:42] app.INFO: Generate html template forward_msg at C:\xampp\htdocs\exercice/mails\ar\forward_msg.html [] []
[2024-01-24 20:09:42] app.INFO: Generate txt template forward_msg at C:\xampp\htdocs\exercice/mails\ar\forward_msg.txt [] []
[2024-01-24 20:09:42] app.INFO: Generate html template guest_to_customer at C:\xampp\htdocs\exercice/mails\ar\guest_to_customer.html [] []
[2024-01-24 20:09:42] app.INFO: Generate txt template guest_to_customer at C:\xampp\htdocs\exercice/mails\ar\guest_to_customer.txt [] []
[2024-01-24 20:09:42] app.INFO: Generate html template import at C:\xampp\htdocs\exercice/mails\ar\import.html [] []
[2024-01-24 20:09:42] app.INFO: Generate txt template import at C:\xampp\htdocs\exercice/mails\ar\import.txt [] []
[2024-01-24 20:09:42] app.INFO: Generate html template in_transit at C:\xampp\htdocs\exercice/mails\ar\in_transit.html [] []
[2024-01-24 20:09:42] app.INFO: Generate txt template in_transit at C:\xampp\htdocs\exercice/mails\ar\in_transit.txt [] []
[2024-01-24 20:09:42] app.INFO: Generate html template log_alert at C:\xampp\htdocs\exercice/mails\ar\log_alert.html [] []
[2024-01-24 20:09:42] app.INFO: Generate txt template log_alert at C:\xampp\htdocs\exercice/mails\ar\log_alert.txt [] []
[2024-01-24 20:09:42] app.INFO: Generate html template newsletter at C:\xampp\htdocs\exercice/mails\ar\newsletter.html [] []
